Word,Meaning
grocery,식료품
tourist,관광객
fairy,요정
gate,"문, 입구"
flag,깃발
background,배경
manner,"방법, 예절"
capital,"수도, 자본"
noise,소음
valley,계곡
pain,고통
direction,"방향, 지침"
danger,위험
distance,거리
guide,안내하다
behavior,행동
coach,코치
object,"물체, 대상"
note,"기록, 음표, 주목"
dictionary,사전
count,"셈하다, 중요하다"
tear,"눈물, 찢다"
sail,항해하다
honor,"명예, 존경"
promise,약속하다
increase,증가하다
repeat,반복하다
bite,물다
bake,굽다
male,남성의
gather,모으다
native,토착의
succeed,"성 공 하 다, 계 승 하 다"
disappoint,실망시키다
protect,보호하다
shine,빛나다
advertise,광고하다
fix,"고치다, 고정하다"
disappear,사라지다
pour,쏟아 붓다
electric,"전기의, 전자의"
allow,허락하다
lovely,사랑스러운
prevent,"예방하다, 막다"
thin,"마른, 가는"
certain,특정한
round,둥근
mental,정신의
deep,깊은
comfortable,편안한
wide,넓은
expensive,비싼
yet,아직
therefore,그러므로
quickly,빠르게
everywhere,어디서나
action,"행동, 조치"
hero,영웅
talent,재능
ability,능력
choice,선택
knowledge,지식
slave,노예
technique,기술
situation,상황
floor,"층, 바닥"
pride,자부심
cancer,암
tip,"조언, 끝부분"
diet,"식단, 다이어트"
stair,계단
garbage,쓰레기
soil,"흙, 토양"
cash,현금
master,"주인, 숙달하다"
countryside,"시골, 교외"
suit,"소송, 적합하다"
route,"길, 경로"
notice,알아채다
amount,양
bow,절하다
score,"점수, 득점하다"
rush,돌진하다
challenge,"도전, 고난"
adult,성인
cure,치료하다
principal,"주요한, 교장"
appear,나타나다
folk,"사람들, 평민"
spread,퍼지다
material,물질적인
hunt,사냥하다
standard,"기준, 표준"
destroy,파괴하다
stiff,뻣뻣한
consider,"여기다, 고려하다"
accept,받아들이다
expect,예상하다
obey,복종하다
suggest,제안하다
hide,숨기다
cultural,문화의
basic,기본적인
social,사회의
local,지역의
elderly,"나이든, 구식의"
boring,지루한
unhappy,불행한
weak,약한
crazy,"미친, 열광한"
quick,빠른
alive,살아있는
easily,쉽게
outside,"외곽, 밖"
abroad,"외국에, 해외로"
quite,"꽤, 매우"
host,"주인, 진행자"
god,신
athlete,운동선수
guest,손님
audience,"청중, 관객"
diver,잠수부
temperature,온도
blood,피
cell,"세포, 전지"
pool,웅덩이
transportation,"운송, 수송"
temple,"사원, 신전"
bowl,그릇
thought,생각
brick,벽돌
crop,"곡식, 작물"
planet,행성
tail,꼬리
wing,날개
crowd,군중
purpose,"목적, 용도"
care,관심을 갖다
decision,결정
strike,"치다, 파업"
frighten,깜짝 놀란
relative,"상대적인, 친척"
scare,두렵게 하다
patient,"인 내 심 이  있 는, 환 자"
slip,미끄러지다
gain,얻다
melt,녹다
provide,제공하다
pollute,오염시키다
dig,파다
affect,영향을 주다
explore,탐구
depend,의지하다
warn,경고하다
manage,관리하다
recognize,인식
fit,"적당한, 건강한"
celebrate,축하하다
correct,수정하다
stupid,멍청한
surprising,놀라운
helpful,유용한
active,"활 동 적 인, 적 극 적 인"
convenient,편리한
colorful,화려한
impossible,불가능한
wet,젖은
medical,의학의
wild,야생의
outdoor,야외
daily,매일의
forever,영원히
straight,"곧은, 직선의"
indeed,실제로
wood,"나무, 목재"
lawyer,변호사
cave,동굴
officer,경관
tomb,무덤
university,대학교
tool,도구
level,수준
satellite,인공위성
growth,성장
communication,의사소통
journey,여행
wealth,"부, 재산"
gun,총
attention,관심
emergency,응급상황
miracle,기적
case,"사례, 경우"
stream,"시내, 냇물"
difficulty,어려움
wave,"파도, 파장"
addition,"추가, 첨가"
value,"가 치, 귀 중 히  여 기 다"
credit,"신용, 학점, 인정"
beat,물리치다
fool,"바보, 속이다"
support,지지
